CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	CONCEPT	DOCULECT
1329	TOMORROW	tomorrow	mañana	amanhã	sedke	Matís
2271	THINK	think	pensar	pensar	sinan	Matís
1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	leve	ßakad	Matís
1996	GET TIRED	get tired	cansar(se)		ßakak	Matís
112	TURTLE	turtle	tortuga, motelo	tartaruga	ßawɨ	Matís
2113	OLD (USED)	old (used)			ßɨni	Matís
1380	TOOTH	tooth	dientes	dente	ßɨta	Matís
1175	GHOST	ghost	fantasma	fantasma	ßo	Matís
677	AXE	axe	hacha	machado	ßodko	Matís
178	RIPE	ripe	maduro	maduro	ßu	Matís
1252	HOUSE	house	casa	casa	ßubu	Matís
1222	PENIS	penis	pene	órgão sexual masculino	ßui	Matís
1402	BREAST	breast	teta, seno, pechos	seio, mama	ßuma	Matís
3347	HIGH OR UP	high or up			ßunu	Matís
1490	RAT	rat	rata	RATO	ßuyan	Matís
813	DO	do	hacer	fazer	ʃe	Matís
704	CLEAN	clean	limpio	limpo	ʃebad	Matís
1453	WASH	wash	lavar	lavar	ʃik	Matís
1424	YELLOW	yellow	amarillo	amarelo	ʃin	Matís
1301	FOOT	foot	pie	pé	taɨ	Matís
1318	CHICKEN	chicken	pollo	galo, frango	takada	Matís
1410	KNOW (SOMETHING)	know (something)	sabra	saber	tanawa	Matís
977	ARROW	arrow	flecha	flecha	tawa	Matís
1333	NECK	neck	cuello	pescoço	tɨtun	Matís
506	MAIZE	maize	maíz	milho	tsadi	Matís
1917	TIE	tie	empatar	amarrar, atar	tse	Matís
1363	VOICE	voice	voz	voz	tßa	Matís
321	CHEW	chew	masticar	mastigar, mascar	tßakawa	Matís
1428	BURNING	burning	arder	queimar, arder	tßaman	Matís
227	FISH	fish	pez, pescado	peixe	tßapa	Matís
666	RIVER	river	río	rio	tßɨßɨ	Matís
1446	COME	come	ya viene	vir	tßo	Matís
2159	GROUND	ground			tßod	Matís
1086	WORK (ACTIVITY)	work (activity)	Trabajar		tßonoad	Matís
1234	SMOOTH	smooth	suave, liso	liso, macio	tßuku	Matís
1758	OLDER SISTER	older sister	hermana mayor	irmã mais velha	tßutßu	Matís
1646	GIRL	girl	niña	menininha	tʃanpi	Matís
77	YOUNG WOMAN	young woman	la joven	moça	tʃanpi	Matís
1936	DEER	deer	venado, matacán	veado	tʃaßu	Matís
897	SWALLOW	swallow	tragar	tragar, engolir	tʃe	Matís
1372	MEDICINE	medicine	medicina, remedio	medicamento, remédio	tʃete	Matís
1761	YOUNGER SISTER	younger sister	hermana menor	irmã mais nova	tʃibi	Matís
1335	WHITE	white	blanco	branco	tʃidabo	Matís
962	WOMAN	woman	mujer	mulher	tʃidabo	Matís
887	BITTER	bitter	amargo	amargo	tʃimu	Matís
1387	ARRIVE	arrive	llegar, alcanzar	chegar	tʃinukun	Matís
1421	SUCK	suck	chupar, mamar	chupar, sugar	tʃiʃ	Matís
1456	THROW	throw	tirar	jogar	ttʃanpiik	Matís
744	EGG	egg	huevo	ovo	tu	Matís
1606	INSIDE	inside	adentro, dentro	dentro	tuka	Matís
797	TESTICLES	testicles	testículo	testículo	ubu	Matís
1278	VOMIT	vomit	vomitar, arrojar	vomitar	uk	Matís
1174	YESTERDAY	yesterday	ayer	ontem	ußto	Matís
1585	SLEEP	sleep	dormir	dormir	uʃ	Matís
1287	COLD	cold	frío	frio	waduß	Matís
948	WATER	water	agua	água	waka	Matís
658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	chuva	we	Matís
1766	FINISH	finish	terminar	completar, acabar	weskin	Matís
1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha	widu	Matís
1839	CRY	cry	lloriquear	chorar	win	Matís
163	BLACK	black	negro	preto, negro	wisu	Matís
1394	BONE	bone	hueso	ossos	wiʃpo	Matís
619	ANIMAL	animal	animal	animal, bicho		
646	ASH	ash	cenizas	cinzas		
2004	BEND	bend	encorvar, doblar	dobrar, curvar		
994	BOW	bow	areo, o bodoquera	arco		
679	BRIGHT	bright	brillante, resplandor	claro, brilhante		
581	COME BACK	come back	volver, regresar	voltar, regressar		
1850	COTTON	cotton	algodón	algodão		
1230	DIRTY	dirty	sucio	sujo		
1560	FACE	face	cara	rosto		
1574	FLOAT	float	flotar	flutuar		
1504	FLY (INSECT)	fly (insect)	volar	mosca		
1829	JUMP	jump	saltar, brincar	saltar		
640	MUD	mud	lodo	lama, lodo		
1156	OPEN	open	abrir	abrir, aberto		
480	PLATE	plate	plato	prato		
281	POST	post	poste	poste, vara		
1452	PUSH	push	empujar	empurrar		
998	PUT	put	poner	pôr		
1218	ROPE	rope	soga, cuerda	corda, cordel		
1457	SEW	sew	coser	costurar		
1437	SPLIT	split	hender, partir	rachar		
1219	WORM	worm	lombriz, gusano	vermelho		
380	WRINKLED	wrinkled	arrugado	enrugado		
665	BEE	bee	abeja	abelha		
937	BIRD	bird	pájaro, ave	pássaro, ave		
806	BLANKET	blanket	manta	cobertor		
1046	SHUT	shut	cerrar	fechar		
1616	CLOTH	cloth	tela	tecido, pano		
761	COVER	cover	cubrir	cobrir		
1593	DEEP	deep	profundo, hondo	fundo		
676	SHIT (DEFECATE)	shit (defecate)	defecar, excremento (noun)	defecar		
1973	DEMON	demon	demonio	demônio		
1336	EAT	eat	comer	comer		
1406	FAR	far	lejos	longe		
323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grase	gordura		
1423	FIGHT	fight	pelear	lutar		
1429	FULL	full	lleno	estar cheio		
606	GRASS	grass	hierba, pasto	grama		
602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	esconder		
489	KIDNEY	kidney	riñón	rim		
628	LEAF	leaf	hoja de árbol	folha		
1297	LEG	leg	pierna, pata	perna		
601	LIE (MISLEAD)	lie (mislead)	mentir (mentira)	mentir		
215	LIE DOWN	lie down	acostarse, echarse	deitar-se		
1392	LOUSE	louse	piojo	piolho		
203	MARRY	marry	casarse	casar		
634	MEAT	meat	carne	carne		
1350	MONKEY	monkey	mono/s	macaco		
1267	NARROW	narrow	estrecho, angosto	estreito		
539	NEST	nest	nido	ninho		
275	PEEL	peel	pelar	descascar		
378	PINCH	pinch	pellizcar	beliscar		
1913	PRESS	press	presionar	comprimir, apertar		
156	RED	red	rojo	vermelho		
1644	RELATIVES	relatives	parientes, parentela	parentes		
801	RIB	rib	costilla	costela		
1575	COCKROACH	cockroach	cucaracha	barata		
769	ROOF	roof	tejado	telhado, teto		
1274	SALT	salt	sal	sal		
1458	SAY	say	decir	dizer		
1767	SCRAPE	scrape	raspar, rallar	raspar		
1409	SEE	see	ver	ver		
1847	SICK	sick	estar enfermo	doente, doença		
48	BE SILENT	be silent	callarse	ficar em silêncio		
763	SKIN	skin	piel, cutis, pellejo	pele, couro		
1587	SMELL (STINK)	smell (stink)	oler, olfatear	cheirar		
1414	SQUEEZE	squeeze	exprimir	espremer, comprimir		
713	STEAL	steal	robar	roubar		
214	STRETCH	stretch	alargar, estirar, tender	esticar		
1343	SUN	sun	sol	sol		
1161	THREAD	thread	hilo	linha, fio		
1346	THROAT	throat	garganta	gargante		
1150	THUNDER	thunder	trueno	trovão		
1958	UNRIPE	unripe	inmaduro, no maduro, verde	verde, imaturo		
1784	WANT	want	desear (querer)	querer		
1109	WOUND	wound	herida, llaga	ferida, chaga		
738	THING	thing	cosa	coisa		
728	FIRST	first	primero	primeiro		
2	DUST	dust	polvo	pó		
1228	EARTH (SOIL)	earth (soil)	tierra	terra (solo)		
1821	BRUSH	brush	monte	escova		
652	PLAIN	plain	pampa, llanura, campo	campo, planície, savannah		
2144	SPRING OR WELL	spring or well	manantial, pozo	nascente, poço		
624	LAKE	lake	lago	lago		
1977	DEW	dew	rocío	orvalho		
1654	LIGHTNING	lightning	relámpago	relâmpago		
1726	WET	wet	mojado	molhado, úmido		
1225	DAY (NOT NIGHT)	day (not night)	día	dia		
1313	MOON	moon	luna	lua		
1430	STAR	star	estrella	estrela		
1342	SUMMER	summer	verano	verão		
1226	YEAR	year	año	ano		
729	DAWN	dawn	madrugada	amanhecer		
1629	EVENING	evening	vísperas, noche	tarde		
960	WIND	wind	viento 	vento		
175	BLOW (OF WIND)	blow (of wind)	soplar	soprar		
360	FAN (ACTION)	fan (action)	abanicar, aventar	ventilar, abanar		
1388	SHADE	shade	sombra	sombra		
221	FIRE	fire	lumbre	fogo		
1188	CHARCOAL	charcoal	carbón	carvão		
737	LIGHT (IGNITE)	light (ignite)	encender	acender, atear		
778	SMOKE (EXHAUST)	smoke (exhaust)	humo	nevoeiro		
127	EXTINGUISH	extinguish	apagar	extinguir		
1286	HOT	hot	caliente	quente		
1232	WARM	warm	tibio, cálido	quente, cálido		
479	GROW	grow	crecer	crescer		
670	ROOT	root	ráiz	raiz		
1204	BARK	bark	corteza, cascara	casca da árvore		
239	FLOWER	flower	flor	inflorescência		
1507	FRUIT	fruit	fruto	fruta		
919	CHILI PEPPER	chili pepper	ají	malagueta		
974	TOBACCO	tobacco	tobaco	tabaco		
411	GOURD	gourd	jícara	cabaça		
864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	moranga		
159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce		
580	FUR	fur	piel peluda	pelo		
123	FOREHEAD	forehead	frente (la)	testa, fronte		
1173	EYEBROW	eyebrow	frente	sobrancelhas		
1540	EYELASH	eyelash	pestaña	pestana, cílio		
1651	TEAR (OF EYE)	tear (of eye)	lágrima	lágrima		
1221	NOSE	nose	nariz	nariz		
208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco		
1730	CHEEK	cheek	mejilla	bochecha		
674	MOUTH	mouth	boca	boca		
1440	SPIT	spit	escupir (saliva [noun])	cuspir		
1205	TONGUE	tongue	lengua	lí­ngua		
798	JAW	jaw	mandíbula	maxila		
1510	CHIN	chin	mentón, barbilla	queixo		
981	ELBOW	elbow	codo	cotovelo		
1886	ARMPIT	armpit	sobaco, axila	axila, sovaco		
1482	SHOULDER	shoulder	hombro	ombro		
1257	WING	wing	ala	asa		
1201	FEATHER	feather	pluma	pluma		
1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão		
1303	FINGER	finger	dedo de la mano	dedo		
72	CLAW	claw	uña	unha		
980	HEEL	heel	talón	calcanhar		
471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	coxa		
834	BUTTOCKS	buttocks	nalgas, trasero	ânus		
1159	FART	fart	ventosear, flato	peido		
592	PISS	piss	orinar	urinar		
549	COPULATE	copulate	tener relaciones sexuales	ter relações sexuais		
1090	BE BORN	be born	se nacio	nascer		
635	MILK	milk	leche	leite		
1592	CHEST	chest	pecho	peito		
819	STOMACH	stomach	estómago	estômago, barriga		
1223	HEART	heart	corazón	coração		
1224	LIVER	liver	hígado	fígado		
688	LUNG	lung	pulmón	pulmão		
2259	FLESH	flesh	carne	carne		
1289	BABY	baby	niño, bebé, nene	lactente		
1366	BOY	boy	niño (chico)	menino, garoto		
683	PERSON	person	persona, ser humano	pessoa, ser humano		
1217	FATHER	father	papá	pai		
1327	UNCLE	uncle	tío	tio		
1383	GRANDFATHER	grandfather	abuelo	avô		
1496	GRANDMOTHER	grandmother	abuela	avó		
2009	DOG	dog	perro	cão, cachorro		
735	OWL	owl	lechuza, buho	mocho, coruja		
503	FROG	frog	rana	rã		
1543	SNAIL	snail	caracol	lesma		
587	ANT	ant	hormiga	formiga		
942	HONEY	honey	miel	mel		
843	SPIDER	spider	araña	aranha		
1509	MOSQUITO	mosquito	zancudo	mosquito		
1791	BUTTERFLY	butterfly	mariposa	borboleta		
1208	CAT	cat	gato	gato		
1337	PIG	pig	cerdo, puerco	porco europeu		
1360	DUCK	duck	pato, ánade	pato		
307	HAWK	hawk	halcón	gavião		
882	PARROT	parrot	papagayo	papagaio		
996	DEAF	deaf	sordo	surdo		
1666	MUTE	mute	mudo	mudo		
320	LAME	lame	lisiado	coxo		
1463	DRUNK	drunk	ebrio	embriagado		
1783	PAIN	pain	dolor	dor		
1808	PUS	pus	pus	pus		
499	CURE	cure	sanar, curar	sarar, curar		
630	LIGHT (RADIATION)	light (radiation)	luz	luz		
708	SHINE	shine	brillar	brilhar		
706	DARK	dark	oscuro	escuro		
11	DARKNESS	darkness	oscuridad, tinieblas	escuridão		
837	BLUE	blue	azul	azul		
42	STINKING	stinking	hediondo	fedorento, mal cheiroso		
319	LICK	lick	lamer	lamber		
717	SWEET	sweet	dulce	doce		
1906	SOUR	sour	ácido, agrio	ácido, azedo		
1892	TOUCH	touch	tocar	tocar		
1884	HARD	hard	duro (difícil)	duro		
3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso	forte, poderoso		
1856	SOFT	soft	suave	mole		
1631	FAST	fast	ágil	rápido, ligeiro		
1923	ROUGH	rough	áspero	áspero		
1324	SLIP	slip	resbalar	escorregar, resvalar		
406	OLD MAN	old man	viejo	velho		
1207	YOUNG	young	tierno, joven	jovem, novo		
1959	RAW	raw	crudo	cru		
46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar		
1203	LONG	long	largo	longo		
1633	FLAT	flat	plano	plano, chato		
1244	THICK	thick	grueso	grosso		
1292	BAD	bad	malo	mau		
1415	THINK (REFLECT)	think (reflect)	pensar (cogitar)	pensar		
707	REMEMBER	remember	recuerda	lembrar-se		
781	FEAR (FRIGHT)	fear (fright)	miedo	medo, susto		
1468	LOOK FOR	look for	buscar (mirar)	buscar, procurar		
1831	MEET	meet	reunirse	encontrar		
1750	CHOOSE	choose	escoger, elegir	escolher		
1719	BURY	bury	sepultar	enterrar		
1564	LAZY	lazy	perezoso	preguiçoso		
1897	HELP	help	ayudar	ajudar		
956	FLEE	flee	huir	escapar, fugir		
923	LOVE	love	querer	amar		
1828	ASK (REQUEST)	ask (request)	pedir	pedir		
1309	ASK (INQUIRE)	ask (inquire)	preguntar	perguntar		
1657	TRUE	true	verdadero	verdadeiro		
715	SHOUT	shout	grito (chillar)	gritar		
1025	WHISTLE	whistle	silbar, chiflar	assoviar		
1869	BUY	buy	comprar	comprar		
301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique		
1127	SEND	send	enviar, mandar	enviar, mandar		
811	SOUL	soul	alma	alma, espírito		
908	DRUM	drum	tambor	tambor		
777	FLUTE	flute	flauta	flauta		
816	HALF	half	mitad	metade		
3208	CENTER OR MIDDLE	center or middle	medio, centro	meio, centro		
1498	TWO	two	dos	dois, duas		
1374	RING	ring	anillo, sortija	anel		
1845	BALL	ball	pelota, esfera, globo	esfera, bola		
1404	STRAIGHT	straight	recto	reto		
1442	STAND	stand	poner(se) de pie	levantar-se		
1576	PILE UP	pile up	amontonar	empilhar		
723	PLACE (POSITION)	place (position)	lugar, sitio	espaço, lugar		
363	DWELL (LIVE, RESIDE)	dwell (live,  reside)	habitar, vivir	morar, residir		
682	SIDE	side	lado, costado	lado		
1752	LEAVE	leave	salir	partir, ir-se embora		
1359	SEPARATE	separate	separar, apartar	separar		
765	MOVE	move	movimiento	mover		
762	OUTSIDE	outside	afuera, fuera, exterior	fora		
1591	UP	up	arriba, encima	em cima, sôbre		
501	LIFT	lift	levantar	levantar, içar		
1753	TOP	top	parte superior	cume, topo		
1686	BEHIND	behind	atrás, detrás	atrás de		
1942	NEAR	near	está cerca	perto, próximo		
1909	SHAKE	shake	sacudir	agitar		
3456	CRAWL OR CREEP	crawl or creep	gatear	rastejar, arrastar-se		
1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	voar		
1519	RUN	run	correr	correr		
1439	SWIM	swim	nadar	nadar		
879	COUGH	cough	toser	tossir		
162	HICCOUGH	hiccough	tener hipo	soluço		
1983	SNORE	snore	roncar	roncar, ressonar		
168	REST	rest	descansar	descansar		
731	BEVERAGE	beverage	bebida	bebida		
1403	BITE	bite	morder	morder		
1594	FLOUR	flour	harina	farinha		
404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada		
1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	plantar, semear		
7	GATHER	gather	recoger, reunir	colecionar, reunir		
1011	BRIDGE	bridge	puente	ponte		
1690	FENCE	fence	quitamiedos	cerca		
1567	DOOR	door	puerta	porta, portão		
1476	CHAIR	chair	silla	cadeira		
195	MAT	mat	petate	tapete		
772	BELT	belt	cinturón, faja	cinto		
352	UNTIE	untie	desatar	desatar		
133	WEAVE	weave	tejer	tecer		
1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	agulha		
590	NAKED	naked	desnudo	despido, nu		
1475	COMB	comb	peine	pente		
1085	FOLLOW	follow	seguir	seguir		
1172	SHOOT	shoot	tirar, disparar	disparar, fuzilar		
1455	PULL	pull	tirar, jalar	puxar		
213	SHAVE	shave	aleta	nadadeira		
318	FOOTPRINT	footprint	huella	pegada		
1743	JOIN	join	unirse	juntar, unir		
1735	TEAR (SHRED)	tear (shred)	romper, rasgar	romper, rasgar		
1033	GRIND	grind	moler	moer		
121	SPIN	spin	hilar	fiar		
1444	TURN AROUND	turn around	dar vuelta, voltear	voltar, dar a volta		
827	ROLL	roll	rodar, arrollar, enrollar	rolar		
928	EMBRACE	embrace	abrazar (abrazo)	abraçar		
1325	FRIEND	friend	amigo, compañero	amigo, companheiro		
1209	I	i	yo, mi	eu		
1215	THOU	thou	usted	vocês		
1213	YOU	you	vosotros	vós		
817	THEY	they	ellos, ellas	eles, elas		
1268	YES	yes	sí, afirmativo	sim, afirmativo		
1235	WHO	who	¿quién?	quem?		
1236	WHAT	what	¿qué?	que?		
1237	WHERE	where	¿dónde?	onde?		
1157	BECAUSE	because	porque	porque		
1418	DIG	dig	excavar, cavar	cavar, escavar		
249	FOG	fog	niebla	névoa		
1239	HOW	how	¿cómo?	como?		
667	ROAD	road	carretera	estrada, caminho		
1449	RUB	rub	frotar, enjugar	esfregar		
1396	SHARP	sharp	afilado, aguzado, filoso	agudo, afiado		
1645	SHORT	short	corto	curto		
1416	SIT	sit	sentarse, sentado	sentar-se		
1212	WE	we	nosotros/nosotras	nós		
1238	WHEN	when	¿cuándo?	quando?		
1243	WIDE	wide	ancho, amplio	largo		
2457	PATH OR ROAD	path or road	camino, sendero, trocha	CAMINHO		
2252	PATH	path	trocha	caminho, vereda		
1491	MOUSE	mouse	ratón	camundongo		
639	MOUNTAIN	mountain	montaña	serra		
614	HILL	hill	colina			
1253	RAIN (RAINING)	rain (raining)				
2108	RAINING OR RAIN	raining or rain	lluvia			
1827	HARVEST CROPS	harvest crops	recoger			
1844	BOAT	boat	bote	canoa		
2468	BAG	bag	bolso			
388	FISHNET	fishnet	red, atarraya	rede de pesca		
1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha		
3320	SNARE (TRAP)	snare (trap)				
2319	LID (COVER, CAP)	lid (cover, cap)				
1195	GIVE BIRTH	give birth		parir		
3020	BREAK (BREAKING)	break (breaking)		quebrar(-se) / romper(-se)		
719	FIND	find	encontrar, hallar	achar, encontrar		
1341	HEAT UP	heat up	calentar			
1433	HIT	hit	golpear	bater		
3452	MUCH	much				
699	SAD	sad	triste	TRISTE (ZA)		
2327	BECOME SICK	become sick				
2493	BOIL	boil	hervir			
