DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
Shipibo-Conibo	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar
Shipibo-Conibo	2124	SMELL	smell	olor	cheirar
Shipibo-Conibo	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto
Shipibo-Conibo	544	SPICY	spicy	picante	
Shipibo-Conibo	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR
Shipibo-Conibo	2113	OLD (USED)	old (used)		
Shipibo-Conibo	2112	OLD (AGED)	old (aged)		
Shipibo-Conibo	179	RIPEN	ripen		
Shipibo-Conibo	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido
Shipibo-Conibo	6	FILL	fill	terremoto	terremoto
Shipibo-Conibo	3701	HOLLOW	hollow		
Shipibo-Conibo	2790	HIGH OR TALL	high or tall		
Shipibo-Conibo	2652	BROAD OR WIDE	broad or wide		
Shipibo-Conibo	2271	THINK	think	pensar	pensar
Shipibo-Conibo	2248	KNOW (SOMEBODY)	know (somebody)		
Shipibo-Conibo	1660	LOSE	lose	perder	
Shipibo-Conibo	3861	FAIL	fail		
Shipibo-Conibo	2374	DREAM	dream	sueño	SONHO / SONHAR
Shipibo-Conibo	1419	FEAR (BE AFRAID)	fear (be afraid)	tiene miedo	ter medo
Shipibo-Conibo	1590	WAIT (FOR)	wait (for)	esperar	
Shipibo-Conibo	2223	BE ANGRY	be angry		
Shipibo-Conibo	2215	BECOME ANGRY	become angry		
Shipibo-Conibo	3749	HATE (LOATHING)	hate (loathing)		
Shipibo-Conibo	1358	ENEMY	enemy	enemigo	inimigo
Shipibo-Conibo	1615	ESCAPE	escape		
Shipibo-Conibo	2142	RUN AWAY	run away	escapar	
Shipibo-Conibo	2117	DESIRE	desire	desear	
Shipibo-Conibo	1275	ANSWER	answer	contestar	responder
Shipibo-Conibo	1363	VOICE	voice	voz	voz
Shipibo-Conibo	1711	TELL	tell	narrar, contar	dizer
Shipibo-Conibo	3230	DECEIVE	deceive	engañar	
Shipibo-Conibo	1955	GRIEVE	grieve		
Shipibo-Conibo	8	CURSE	curse	maldecir	amaldiçoar
Shipibo-Conibo	773	HAVE	have	tener	ter
Shipibo-Conibo	694	GET	get	obtener (recibir)	obter, conseguir
Shipibo-Conibo	3898	ACCEPT	accept		
Shipibo-Conibo	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar
Shipibo-Conibo	1674	POOR	poor	pobre	pobre
Shipibo-Conibo	860	CAUSE	cause	causar	causa
Shipibo-Conibo	1086	WORK (ACTIVITY)	work (activity)	Trabajar	
Shipibo-Conibo	1096	SONG	song	canción	
Shipibo-Conibo	3472	DANCE (MOVEMENT)	dance (movement)	danza	
Shipibo-Conibo	1041	INCREASE	increase		
Shipibo-Conibo	689	BETWEEN	between		
Shipibo-Conibo	1005	TWINS	twins	gemelos	gêmeos
Shipibo-Conibo	1741	ABOVE	above		encima
Shipibo-Conibo	1512	RISE (ONESELF)	rise (oneself)		
Shipibo-Conibo	57	ATOP	atop		sobre
Shipibo-Conibo	690	BOTTOM	bottom	fondo	fundo
Shipibo-Conibo	1326	DOWN	down	abajo	
Shipibo-Conibo	750	DROP	drop		
Shipibo-Conibo	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair
Shipibo-Conibo	463	FELL (A TREE)	fell (a tree)		
Shipibo-Conibo	1883	IN FRONT OF	in front of	delantero, delante	frente
Shipibo-Conibo	2912	FORWARD	forward		
Shipibo-Conibo	2911	BACKWARD	backward		
Shipibo-Conibo	1778	APPROACH	approach	acercarse	aproximar
Shipibo-Conibo	3696	THROW AWAY	throw away	tirar	
Shipibo-Conibo	870	BREATH	breath		hálito
Shipibo-Conibo	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)		
Shipibo-Conibo	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar
Shipibo-Conibo	129	CHOKE	choke	sofocar	sufocar
Shipibo-Conibo	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)		
Shipibo-Conibo	1996	GET TIRED	get tired	cansar(se)	
Shipibo-Conibo	3174	WAKE UP (SOMEONE)	wake up (someone)		
Shipibo-Conibo	1533	BE HUNGRY	be hungry	hambriento	TER FOME
Shipibo-Conibo	739	FEED	feed	nutrir	
Shipibo-Conibo	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR
Shipibo-Conibo	2492	BOIL (SOMETHING)	boil (something)		
Shipibo-Conibo	3294	BRAID (VERB) OR WEAVE (BASKET)	braid (verb) or weave (basket)	tejer, trenzar	tecer
Shipibo-Conibo	976	WEAR	wear	vestir	
Shipibo-Conibo	1860	BEAD	bead	chaquira, abalorio	contas, miçanga
Shipibo-Conibo	2012	COLLAR	collar	cuello	colarinho
Shipibo-Conibo	2070	COMB (VERB)	comb (verb)	peinar	
Shipibo-Conibo	1043	BRAID	braid	trenzar	trança
Shipibo-Conibo	1047	PURSUE	pursue	perseguir	perseguir
Shipibo-Conibo	1295	STICK	stick	palo	
Shipibo-Conibo	282	POLE	pole		
Shipibo-Conibo	1434	STAB	stab		
Shipibo-Conibo	1720	SIGN	sign	marca	
Shipibo-Conibo	1094	FASTEN	fasten	Amarrar	
Shipibo-Conibo	681	DESTROY	destroy	destruir	destruir
Shipibo-Conibo	3080	SPLIT OPEN	split open	rajar	
Shipibo-Conibo	165	CHOP	chop		
Shipibo-Conibo	3224	WRING	wring		
Shipibo-Conibo	1473	FIST	fist		
Shipibo-Conibo	1520	CRUSH	crush		
Shipibo-Conibo	225	PESTLE	pestle	mano de mortero	socador (do pilão)
Shipibo-Conibo	1588	TURN	turn	virar	virar
Shipibo-Conibo	696	STIR	stir	revolver	
Shipibo-Conibo	813	DO	do	hacer	fazer
Shipibo-Conibo	1840	BUILD	build	edificar	construir
Shipibo-Conibo	1340	WITH	with	con	
Shipibo-Conibo	1524	ACCOMPANY	accompany	vino	vinho
Shipibo-Conibo	2504	DIFFERENT	different	diferente	
Shipibo-Conibo	1240	NOT	not	no	não
Shipibo-Conibo	1214	THIS	this	este	este
Shipibo-Conibo	136	HERE	here	aquí	aqui
Shipibo-Conibo	1937	THERE	there	allí	lá
Shipibo-Conibo	1577	AND	and	y	e
Shipibo-Conibo	904	BERRY	berry		
Shipibo-Conibo	379	BLUNT	blunt	romo, embotado	embotado, rombudo
Shipibo-Conibo	2003	FLOW	flow	fluir, correr	fluir
Shipibo-Conibo	1040	HAIR	hair	Pelo	pelo
Shipibo-Conibo	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)
Shipibo-Conibo	2615	FLESH OR MEAT	flesh or meat	carne	carne
Shipibo-Conibo	1241	SOME	some	un poco, algo, alguno	alguns
Shipibo-Conibo	2110	WARM (OF WEATHER)	warm (of weather)		
Shipibo-Conibo	1454	WIPE	wipe	limpiar	
