ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss
211_givebirth,give birth,1195,GIVE BIRTH,"dar a luz, parir"
212_many,many,1198,MANY,muchos
213_wife,wife,1199,WIFE,"esposa, marida"
214_husband,husband,1200,HUSBAND,"marido, esposo"
215_feather,feather,1201,FEATHER,pluma
216_big,big,1202,BIG,grande
217_long,long,1203,LONG,largo
218_bark,bark,1204,BARK,corteza
219_tongue,tongue,1205,TONGUE,lengua
220_young,young,1207,YOUNG,jóven
221_cat,cat,1208,CAT,gato
222_i,i,1209,I,"yo, mi"
223_heavy,heavy,1210,HEAVY,pesado
224_we,we,1212,WE,nosotros/nosotras
225_you,you,1213,YOU,ustedes
226_thou,thou,1215,THOU,"tú, usted"
227_mother,mother,1216,MOTHER,madre
228_father,father,1217,FATHER,"padre, papá"
229_rope,rope,1218,ROPE,"soga, cuerda"
230_worm,worm,1219,WORM,"lombriz, gusano"
231_tail,tail,1220,TAIL,cola/rabo
232_nose,nose,1221,NOSE,nariz
233_penis,penis,1222,PENIS,pene
234_heart,heart,1223,HEART,corazón
235_liver,liver,1224,LIVER,hígado
236_daynotnight,day (not night),1225,DAY (NOT NIGHT),día
237_year,year,1226,YEAR,año
238_earthsoil,earth (soil),1228,EARTH (SOIL),tierra
239_old,old,1229,OLD,viejo
240_dirty,dirty,1230,DIRTY,sucio
241_new,new,1231,NEW,nuevo
242_night,night,1233,NIGHT,noche
243_smooth,smooth,1234,SMOOTH,liso
244_who,who,1235,WHO,quién?
245_what,what,1236,WHAT,qué?
246_where,where,1237,WHERE,dónde?
247_when,when,1238,WHEN,cuándo?
248_how,how,1239,HOW,cómo?
249_not,not,1240,NOT,no
250_some,some,1241,SOME,"alguno, pocos"
251_few,few,1242,FEW,pocos
252_wide,wide,1243,WIDE,"ancho, amplio"
253_thick,thick,1244,THICK,grueso
254_small,small,1246,SMALL,pequeño
255_ear,ear,1247,EAR,oreja
256_eye,eye,1248,EYE,ojo
257_belly,belly,1251,BELLY,"barriga, vientre"
258_house,house,1252,HOUSE,casa
259_head,head,1256,HEAD,cabeza
260_wing,wing,1257,WING,ala
261_fingernail,fingernail,1258,FINGERNAIL,uña
262_sing,sing,1261,SING,cantar
263_narrow,narrow,1267,NARROW,"estrecho, angosto"
264_yes,yes,1268,YES,"sí, afirmativo"
265_no,no,1269,NO,"no, negativo"
266_salt,salt,1274,SALT,sal
267_hand,hand,1277,HAND,mano
268_vomit,vomit,1278,VOMIT,"vomitar, arrojar"
269_fall,fall,1280,FALL,caer
270_hot,hot,1286,HOT,caliente
271_cold,cold,1287,COLD,frío
272_baby,baby,1289,BABY,bebé
273_back,back,1291,BACK,espalda
274_bad,bad,1292,BAD,malo
275_leg,leg,1297,LEG,pierna
276_foot,foot,1301,FOOT,pie
277_finger,finger,1303,FINGER,dedo de la mano
278_childyounghuman,child (young human),1304,CHILD (YOUNG HUMAN),niño
279_language,language,1307,LANGUAGE,"lengua, idioma"
280_askinquire,ask (inquire),1309,ASK (INQUIRE),preguntar
281_moon,moon,1313,MOON,luna
282_chicken,chicken,1318,CHICKEN,gallina
283_slip,slip,1324,SLIP,resbalar
284_friend,friend,1325,FRIEND,"amigo, compañero"
285_tomorrow,tomorrow,1329,TOMORROW,mañana
286_neck,neck,1333,NECK,cuello
287_white,white,1335,WHITE,blanco
288_eat,eat,1336,EAT,comer
289_pig,pig,1337,PIG,"cerdo, chancho, puerco"
290_morning,morning,1339,MORNING,mañana
291_summer,summer,1342,SUMMER,verano
292_sun,sun,1343,SUN,sol
293_throat,throat,1346,THROAT,garganta
294_laugh,laugh,1355,LAUGH,reír
295_enemy,enemy,1358,ENEMY,enemigo
296_separate,separate,1359,SEPARATE,"separar, apartar"
297_duck,duck,1360,DUCK,pato
298_boy,boy,1366,BOY,niño (chico)
299_knee,knee,1371,KNEE,rodilla
300_medicine,medicine,1372,MEDICINE,"medicina, remedio"
301_ring,ring,1374,RING,"anillo, sortija"
302_now,now,1376,NOW,ahora
303_tooth,tooth,1380,TOOTH,dientes
304_needleforsewing,needle (for sewing),1382,NEEDLE (FOR SEWING),aguja
305_arrive,arrive,1387,ARRIVE,"llegar, alcanzar"
306_shade,shade,1388,SHADE,sombra
307_louse,louse,1392,LOUSE,piojo
308_hornanatomy,horn (anatomy),1393,HORN (ANATOMY),cuerno
309_bone,bone,1394,BONE,hueso
310_sharp,sharp,1396,SHARP,"afilado, aguzado, filoso"
311_dry,dry,1398,DRY,seco
312_drink,drink,1401,DRINK,"beber, tomar"
313_breast,breast,1402,BREAST,"teta, seno, pechos"
314_bite,bite,1403,BITE,morder
315_straight,straight,1404,STRAIGHT,recto
316_name,name,1405,NAME,nombre
317_far,far,1406,FAR,lejos
318_breathe,breathe,1407,BREATHE,respirar
319_hear,hear,1408,HEAR,oír
320_see,see,1409,SEE,ver
321_knowsomething,know (something),1410,KNOW (SOMETHING),saber
322_play,play,1413,PLAY,jugar
323_squeeze,squeeze,1414,SQUEEZE,exprimir
324_thinkreflect,think (reflect),1415,THINK (REFLECT),pensar
325_sit,sit,1416,SIT,sentado
326_kill,kill,1417,KILL,matar
327_dig,dig,1418,DIG,"cavar, excavar"
328_suck,suck,1421,SUCK,"chupar, mamar"
329_fight,fight,1423,FIGHT,pelear
330_yellow,yellow,1424,YELLOW,amarillo
331_green,green,1425,GREEN,verde (color)
332_burning,burning,1428,BURNING,arder
333_full,full,1429,FULL,lleno
334_star,star,1430,STAR,estrella
335_cut,cut,1432,CUT,cortar
336_hit,hit,1433,HIT,golpear
337_hunt,hunt,1435,HUNT,cazar
338_split,split,1437,SPLIT,"hender, partir"
339_swim,swim,1439,SWIM,nadar
340_spit,spit,1440,SPIT,escupir
341_flymovethroughair,fly (move through air),1441,FLY (MOVE THROUGH AIR),volar
342_stand,stand,1442,STAND,estar de pie
343_walk,walk,1443,WALK,"caminar, andar"
344_turnaround,turn around,1444,TURN AROUND,"voltear, dar vuelta"
345_come,come,1446,COME,venir
346_give,give,1447,GIVE,dar
347_rub,rub,1449,RUB,"frotar, enjugar"
348_push,push,1452,PUSH,empujar
349_wash,wash,1453,WASH,lavar
350_pull,pull,1455,PULL,jalar
351_throw,throw,1456,THROW,tirar
352_sew,sew,1457,SEW,coser
353_say,say,1458,SAY,decir
354_drunk,drunk,1463,DRUNK,"borracho, ebrio"
355_lookfor,look for,1468,LOOK FOR,buscar (mirar)
356_comb,comb,1475,COMB,peine
357_chair,chair,1476,CHAIR,silla
358_body,body,1480,BODY,cuerpo
359_shoulder,shoulder,1482,SHOULDER,hombro
360_beloworunder,below or under,1485,BELOW OR UNDER,debajo
361_plantsomething,plant (something),1486,PLANT (SOMETHING),"plantar, sembrar"
362_cloud,cloud,1489,CLOUD,nube
363_mouse,mouse,1491,MOUSE,ratón
364_one,one,1493,ONE,uno
365_die,die,1494,DIE,morir
366_two,two,1498,TWO,dos
367_flyinsect,fly (insect),1504,FLY (INSECT),mosca
368_fruit,fruit,1507,FRUIT,fruto
369_mosquito,mosquito,1509,MOSQUITO,zancudo
370_wasp,wasp,1517,WASP,avispa
371_run,run,1519,RUN,correr
372_forget,forget,1523,FORGET,olvidar
373_basket,basket,1539,BASKET,"cesto, canasto, canasta"
374_eyelash,eyelash,1540,EYELASH,pestaña
375_snail,snail,1543,SNAIL,caracol
376_man,man,1554,MAN,"varón, hombre"
377_face,face,1560,FACE,cara
378_lazy,lazy,1564,LAZY,perezoso
379_door,door,1567,DOOR,puerta
380_sell,sell,1571,SELL,vender
381_float,float,1574,FLOAT,flotar
382_pileup,pile up,1576,PILE UP,amontonar
383_only,only,1580,ONLY,"solo, solamente"
384_brain,brain,1583,BRAIN,"cerebro, sesos"
385_sleep,sleep,1585,SLEEP,dormir
386_smellperceive,smell (perceive),1586,SMELL (PERCEIVE),"oler, olfatear"
387_smellstink,smell (stink),1587,SMELL (STINK),"apestar, heder, oler mal"
388_waitfor,wait (for),1590,WAIT (FOR),esperar
389_up,up,1591,UP,"arriba, encima"
390_chest,chest,1592,CHEST,pecho
391_deep,deep,1593,DEEP,"profundo, hondo"
392_flour,flour,1594,FLOUR,harina
393_wakeup,wake up,1602,WAKE UP,despertarse
394_inside,inside,1606,INSIDE,"adentro, dentro"
395_cloth,cloth,1616,CLOTH,tela
396_sneeze,sneeze,1621,SNEEZE,estornudar
397_speak,speak,1623,SPEAK,hablar
398_empty,empty,1624,EMPTY,vacío
399_dead,dead,1625,DEAD,muerto
400_evening,evening,1629,EVENING,tarde
401_fast,fast,1631,FAST,ágil
402_flat,flat,1633,FLAT,"llano, plano, chato"
403_relatives,relatives,1644,RELATIVES,"parientes, parentela"
404_short,short,1645,SHORT,corto
405_girl,girl,1646,GIRL,niña
406_sitdown,sit down,1649,SIT DOWN,sentarse
407_tearofeye,tear (of eye),1651,TEAR (OF EYE),lágrima
408_lightning,lightning,1654,LIGHTNING,relámpago
409_true,true,1657,TRUE,verdadero
410_mute,mute,1666,MUTE,mudo
411_hole,hole,1667,HOLE,"hueco, agujero"
412_write,write,1672,WRITE,escribir
413_arm,arm,1673,ARM,brazo
414_behind,behind,1686,BEHIND,"atrás, detrás"
415_smokeinhale,smoke (inhale),1689,SMOKE (INHALE),fumar
416_tell,tell,1711,TELL,"contar, narrar"
417_bury,bury,1719,BURY,"enterrar, sepultar"
418_wet,wet,1726,WET,mojado
419_rotten,rotten,1728,ROTTEN,podrido
420_cheek,cheek,1730,CHEEK,mejilla
421_sky,sky,1732,SKY,cielo
422_rainbow,rainbow,1733,RAINBOW,arcoiris
423_tearshred,tear (shred),1735,TEAR (SHRED),"romper, rasgar"
424_join,join,1743,JOIN,unirse
425_choose,choose,1750,CHOOSE,"escoger, elegir"
426_leave,leave,1752,LEAVE,"salir, marcharse, irse, quitarse"
427_oldersister,older sister,1758,OLDER SISTER,hermana mayor
428_olderbrother,older brother,1759,OLDER BROTHER,hermano mayor
429_youngerbrother,younger brother,1760,YOUNGER BROTHER,hermano menor
430_youngersister,younger sister,1761,YOUNGER SISTER,hermana menor
431_finish,finish,1766,FINISH,"acabar, terminar"
432_scrape,scrape,1767,SCRAPE,"raspar, rallar"
433_approach,approach,1778,APPROACH,acercarse
434_pain,pain,1783,PAIN,dolor
435_want,want,1784,WANT,desear (querer)
436_butterfly,butterfly,1791,BUTTERFLY,mariposa
437_bat,bat,1793,BAT,murciélago
438_wood,wood,1803,WOOD,madera
439_pus,pus,1808,PUS,pus
440_look,look,1819,LOOK,"mirar, contemplar"
441_askrequest,ask (request),1828,ASK (REQUEST),pedir
442_jump,jump,1829,JUMP,saltar
443_meet,meet,1831,MEET,reunirse
444_vagina,vagina,1836,VAGINA,vagina
445_vulva,vulva,1837,VULVA,vulva
446_navel,navel,1838,NAVEL,ombligo
447_cry,cry,1839,CRY,llorar
448_sick,sick,1847,SICK,estar enfermo
449_cotton,cotton,1850,COTTON,algodón
450_soft,soft,1856,SOFT,suave
451_hunger,hunger,1864,HUNGER,hambre
452_buy,buy,1869,BUY,comprar
453_dance,dance,1879,DANCE,bailar
454_hard,hard,1884,HARD,duro
455_armpit,armpit,1886,ARMPIT,"axila, sobaco"
456_touch,touch,1892,TOUCH,tocar
457_clothes,clothes,1895,CLOTHES,ropa
458_help,help,1897,HELP,ayudar
459_sour,sour,1906,SOUR,"ácido, agrio"
460_shake,shake,1909,SHAKE,sacudir
461_press,press,1913,PRESS,presionar
462_tie,tie,1917,TIE,anudar
463_dreamsomething,dream (something),1920,DREAM (SOMETHING),soñar
464_rough,rough,1923,ROUGH,áspero
465_deer,deer,1936,DEER,"venado, matacán"
466_there,there,1937,THERE,allí
467_near,near,1942,NEAR,cerca
468_unripe,unripe,1958,UNRIPE,"inmaduro, no maduro, verde"
469_raw,raw,1959,RAW,crudo
470_necklace,necklace,1961,NECKLACE,collar
471_canoe,canoe,1970,CANOE,"canoa, curiara"
472_demon,demon,1973,DEMON,demonio
473_dew,dew,1977,DEW,rocío
474_snore,snore,1983,SNORE,roncar
475_gettired,get tired,1996,GET TIRED,cansarse
476_flow,flow,2003,FLOW,"fluir, correr"
477_bend,bend,2004,BEND,"doblar, encorvar"
478_dog,dog,2009,DOG,perro
479_godowndescend,go down (descend),2014,GO DOWN (DESCEND),descender
480_mix,mix,2017,MIX,"mezclar, mixturar"
481_hammock,hammock,2019,HAMMOCK,"hamaca, chinchorro"
482_combverb,comb (verb),2070,COMB (VERB),peinar
483_springorwell,spring or well,2144,SPRING OR WELL,"pozo, manantial"
484_becomeangry,become angry,2215,BECOME ANGRY,enojarse
485_path,path,2252,PATH,trocha
486_cloudy,cloudy,2341,CLOUDY,nublado
487_sucklebreastfeednurse,"suckle (breastfeed, nurse)",2472,"SUCKLE (BREASTFEED, NURSE)",mamar
488_boilsomething,boil (something),2492,BOIL (SOMETHING),"hervir, cocer"
489_hairhead,hair (head),2648,HAIR (HEAD),cabello
490_highortall,high or tall,2790,HIGH OR TALL,alto
491_menstruate,menstruate,2827,MENSTRUATE,menstruar
492_wakeupsomeone,wake up (someone),3174,WAKE UP (SOMEONE),despertar
493_mightyorpowerfulorstrong,mighty or powerful or strong,3188,MIGHTY OR POWERFUL OR STRONG,"fuerte, poderoso"
494_centerormiddle,center or middle,3208,CENTER OR MIDDLE,"medio, centro"
495_bloom,bloom,3287,BLOOM,florecer
496_crawlorcreep,crawl or creep,3456,CRAWL OR CREEP,gatear
497_townorvillage,town or village,3609,TOWN OR VILLAGE,"pueblo, ciudad"
498_cookingpot,cooking pot,3653,COOKING POT,"olla, paila"
499_wave,wave,978,WAVE,ola
500_treestump,tree stump,241,TREE STUMP,tocón
501_spiderweb,spider web,1065,SPIDER WEB,telaraña
